Mes,Hotels: (Todo el mundo),Holidays: (Todo el mundo)
2004-01,88,31
2004-02,89,25
2004-03,86,23
2004-04,85,24
2004-05,84,26
2004-06,91,27
2004-07,100,35
2004-08,95,32
2004-09,85,25
2004-10,76,22
2004-11,68,20
2004-12,62,21
2005-01,83,31
2005-02,84,25
2005-03,80,23
2005-04,77,23
2005-05,79,26
2005-06,85,27
2005-07,91,30
2005-08,89,28
2005-09,74,23
2005-10,69,21
2005-11,62,18
2005-12,54,20
2006-01,73,30
2006-02,72,23
2006-03,71,21
2006-04,69,23
2006-05,72,24
2006-06,76,24
2006-07,86,30
2006-08,81,27
2006-09,70,22
2006-10,65,20
2006-11,58,17
2006-12,53,18
2007-01,70,29
2007-02,69,22
2007-03,68,21
2007-04,67,23
2007-05,68,23
2007-06,71,23
2007-07,81,29
2007-08,75,27
2007-09,63,22
2007-10,59,19
2007-11,50,17
2007-12,46,18
2008-01,61,30
2008-02,60,22
2008-03,59,21
2008-04,56,21
2008-05,57,21
2008-06,61,22
2008-07,66,24
2008-08,60,23
2008-09,51,19
2008-10,47,16
2008-11,40,14
2008-12,38,16
2009-01,50,24
2009-02,49,18
2009-03,51,18
2009-04,49,21
2009-05,52,21
2009-06,57,23
2009-07,65,25
2009-08,59,24
2009-09,49,20
2009-10,45,17
2009-11,40,16
2009-12,36,17
2010-01,48,27
2010-02,49,22
2010-03,49,21
2010-04,47,20
2010-05,48,20
2010-06,53,20
2010-07,59,22
2010-08,53,19
2010-09,45,17
2010-10,40,15
2010-11,35,14
2010-12,32,18
2011-01,42,22
2011-02,42,17
2011-03,41,15
2011-04,39,18
2011-05,43,17
2011-06,48,17
2011-07,51,18
2011-08,45,18
2011-09,37,15
2011-10,33,14
2011-11,29,13
2011-12,27,16
2012-01,37,21
2012-02,35,15
2012-03,36,15
2012-04,35,17
2012-05,37,16
2012-06,41,16
2012-07,45,17
2012-08,41,17
2012-09,34,15
2012-10,30,13
2012-11,26,12
2012-12,25,14
2013-01,33,19
2013-02,33,15
2013-03,34,15
2013-04,33,15
2013-05,35,15
2013-06,38,15
2013-07,41,16
2013-08,39,16
2013-09,32,13
2013-10,30,12
2013-11,26,11
2013-12,25,16
2014-01,33,20
2014-02,33,15
2014-03,33,14
2014-04,33,16
2014-05,34,15
2014-06,38,15
2014-07,42,16
2014-08,38,15
2014-09,31,13
2014-10,29,12
2014-11,26,11
2014-12,25,13
2015-01,32,19
2015-02,33,14
2015-03,33,14
2015-04,32,15
2015-05,35,14
2015-06,38,15
2015-07,42,15
2015-08,37,15
2015-09,32,14
2015-10,29,12
2015-11,25,11
2015-12,26,14
2016-01,32,18
2016-02,34,14
2016-03,34,14
2016-04,33,13
2016-05,35,14
2016-06,38,13
2016-07,42,15
2016-08,37,14
2016-09,33,14
2016-10,32,13
2016-11,27,12
2016-12,27,15
2017-01,33,19
2017-02,34,14
2017-03,35,13
2017-04,34,16
2017-05,35,14
2017-06,40,14
2017-07,42,15
2017-08,38,15
2017-09,35,14
2017-10,31,14
2017-11,28,12
2017-12,27,14
2018-01,33,19
2018-02,33,15
2018-03,35,15
2018-04,33,16
2018-05,34,15
2018-06,37,14
2018-07,39,14
2018-08,36,15
2018-09,31,14
2018-10,29,12
2018-11,26,12
2018-12,28,15
2019-01,33,18
2019-02,33,14
2019-03,35,14
2019-04,33,17
2019-05,35,15
2019-06,39,15
2019-07,41,16
2019-08,37,16
2019-09,36,16
2019-10,33,14
2019-11,31,12
2019-12,33,15
2020-01,39,19
2020-02,37,14
2020-03,24,9
2020-04,14,9
2020-05,20,9
2020-06,26,8
